CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
26075010,AM,Palmira Ica,Palmira,Valle del Cauca,1050,-76.32,3.51,5.38,5.27,4.65,4.40,4.32,4.73,5.59,5.55,4.88,4.67,4.77,5.20,4.95
26095180,CO,San Emigdio,Palmira,Valle del Cauca,1272,-76.20,3.55,4.46,4.26,3.89,3.41,3.26,3.51,4.09,4.32,3.65,3.60,3.30,3.82,3.80
53115030,CO,Julio Fernandez,Restrepo,Valle del Cauca,1360,-76.52,3.82,5.00,4.89,4.88,4.17,4.14,4.51,5.15,5.16,4.45,3.82,3.94,4.95,4.59
26125130,CO,Cumbarco,Sevilla,Valle del Cauca,1692,-75.83,4.19,4.18,3.91,3.31,2.82,2.98,3.74,4.57,4.54,3.51,2.82,3.01,3.31,3.56
26085130,CO,Buitrera La,Yumbo,Valle del Cauca,1500,-76.57,3.58,3.47,3.52,3.16,2.76,2.58,2.88,4.13,4.57,3.72,2.98,2.62,2.69,3.26
26105110,CO,Ing Riopaila,Zarzal,Valle del Cauca,941,-76.08,4.32,5.68,5.94,5.22,4.80,4.98,5.29,5.88,6.19,5.70,4.99,4.90,4.90,5.37
33055010,CO,Cumaribo,Cumaribo,Vichada,125,-69.80,4.49,7.57,7.17,5.61,4.51,3.90,3.62,4.00,4.32,5.11,5.46,6.22,7.08,5.38
34015010,SP,Gaviotas Las,Cumaribo,Vichada,171,-70.93,4.55,8.18,7.16,5.44,4.44,3.84,3.67,3.87,4.22,4.98,5.35,5.74,7.03,5.33
34035020,CO,Tapon El,Cumaribo,Vichada,315,-69.15,5.11,7.98,7.37,6.33,4.70,3.74,3.75,3.89,4.23,4.89,5.14,6.08,7.10,5.43
34035010,CO,Tuparro Bocas Tomo,Cumaribo,Vichada,250,-67.86,5.35,8.31,7.94,6.70,5.18,4.47,3.88,4.44,4.97,5.32,6.00,6.59,7.90,5.98
38015030,CP,Apto Pto Carreno,Puerto Carreno,Vichada,50,-67.49,6.18,8.45,8.16,7.22,5.73,4.62,4.16,4.49,4.81,5.44,6.33,6.94,7.67,6.17
